date,odp_process,odp_end,odp_total,pdp_process,pdp_end,pdp_total,jakbar,jakpus,jaksel,jaktim,jakut,outsidejakarta,unknown,confirmed,released,deceased,hospitalized,self_isolated
3/1/2020,14,115,129,9,30,39,,,,,,,,,,,,
3/2/2020,14,115,129,9,30,39,,,,,,,,,,,,
3/3/2020,94,121,215,24,30,54,,,,,,,,,,,,
3/4/2020,120,121,241,26,30,56,,,,,,,,,,,,
3/5/2020,127,140,267,49,34,83,,,,,,,,,,,,
3/6/2020,83,221,304,44,44,88,,,,,,,,,,,,
3/7/2020,94,262,356,44,54,98,,,,,,,,,,,,
3/8/2020,64,298,362,57,70,127,,,,,,,,,,,,
3/9/2020,68,310,378,87,79,166,,,,,,,,,,,,
3/10/2020,70,331,401,97,100,197,,,,,,,,,,,,
3/11/2020,98,347,445,103,116,219,,,,,,,,,,,,
3/12/2020,112,374,486,120,118,238,,,,,,,,,,,,
3/13/2020,144,442,586,126,135,261,,,,,,,,,,,,
3/14/2020,174,486,660,152,137,289,,,,,,,,,,,,
3/15/2020,187,508,695,159,149,308,,,,,,,,,,,,
3/16/2020,277,536,813,168,162,330,,,,,,,,,,,,
3/17/2020,300,562,862,194,180,374,,,,,,,,,,,,
3/18/2020,302,560,862,194,180,374,,,,,,,,,,,,
3/19/2020,336,640,976,290,190,480,,,,,,,,,,,,
3/20/2020,364,845,1209,297,208,505,,,,,,,,,,,,
3/21/2020,384,922,1306,313,215,528,,,,,,,,,,,,
3/22/2020,397,1050,1447,394,252,646,,,,,,,,,,,,
3/23/2020,434,1178,1612,498,267,765,,,,,,,,,,,,
3/24/2020,441,1370,1811,568,281,849,,,,,,,,,,,,
3/25/2020,463,1409,1872,608,291,899,,,,,,,,463,31,23,,
3/26/2020,468,1427,1895,609,307,916,307,232,459,325,323,359,806,515,29,49,324,113
3/27/2020,,,,,,,,,,,,,,,,,,
